flightID,departuretime,arrivaltime,planned_path_cost,actual_path_cost,shortest_path_cost
DAL400-1526448342-airline-0527:0,2018:05:18 14:30:00,2018:05:18 20:48:00,24073.5517804,24199.694812481433,20760.0204207
AAL163-1526448333-airline-0603,2018:05:18 10:00:00,2018:05:18 16:16:00,21743.8396815,22334.67332527481,20941.9250488
DAL330-1526448342-airline-0561,2018:05:18 08:55:00,2018:05:18 15:10:00,21781.162372,22427.921781071123,20949.3172561
DAL454-1526448342-airline-0320,2018:05:18 18:25:00,2018:05:19 00:55:00,24133.9264278,24161.494588730115,20802.4927894
DAL424-1526448342-airline-0516,2018:05:18 06:00:00,2018:05:18 12:06:00,22053.9336921,22423.24425501389,21148.0342468
AAL3-1526448333-airline-0087,2018:05:18 11:00:00,2018:05:18 17:12:00,22010.8615168,22024.679886367194,20883.2864638
AAL185-1526448333-airline-0615:0,2018:05:18 20:15:00,2018:05:19 02:45:00,24650.2774149,24472.103456406978,20752.2573263
AAL23-1526448333-airline-0066:0,2018:05:18 13:30:00,2018:05:18 19:54:00,22274.5035247,22145.866904716175,20774.5984034
JBU123-1526448337-airline-0245:0,2018:05:18 06:31:00,2018:05:18 12:44:00,21912.3137207,22319.514620557613,21105.9706292
DAL458-1526448342-airline-0472:0,2018:05:18 12:55:00,2018:05:18 19:01:00,22328.7904186,22040.949567341824,20832.617481
AAL117-1526448333-airline-0272:0,2018:05:18 14:30:00,2018:05:18 20:59:00,24038.1865957,24136.721563502084,20760.0204207
AAL19-1526448333-airline-0120:0,2018:05:18 16:00:00,2018:05:18 22:26:00,24193.2089305,24139.212292513086,20767.977239
ASA1411-1526448334-airline-0018,2018:05:18 12:00:00,2018:05:18 18:24:00,21696.4201766,21730.297278634484,20830.2453799
AAL133-1526448333-airline-0437:0,2018:05:18 17:00:00,2018:05:18 23:32:00,22123.3806551,22880.23647351656,20827.1800454
AAL293-1526448333-airline-0325:0,2018:05:18 19:15:00,2018:05:19 01:50:00,24762.5476809,24162.191400730357,20814.7184278
JBU523-1526448337-airline-0294,2018:05:18 11:30:00,2018:05:18 17:39:00,21726.738404,21906.30510277567,20830.2453799
JBU1623-1526448337-airline-0378,2018:05:18 18:30:00,2018:05:19 01:04:00,24374.0237747,23630.888320872346,20802.4927894
JBU1723-1526448337-airline-0297:0,2018:05:18 20:40:00,2018:05:19 03:02:00,22928.4908073,22911.332562519234,20752.2573263
ASA1413-1526448334-airline-0211:0,2018:05:18 15:50:00,2018:05:18 22:15:00,24052.565218,23979.661887155424,20767.977239
JBU1323-1526448337-airline-0083:0,2018:05:18 14:27:00,2018:05:18 20:51:00,24089.0456172,24070.170394704735,20760.0204207
AAL33-1526448333-airline-0531,2018:05:18 06:00:00,2018:05:18 12:29:00,21919.1848277,22052.853225863553,21148.0342468
JBU1523-1526448337-airline-0093:0,2018:05:18 16:00:00,2018:05:18 22:28:00,24126.0210029,24610.268571693865,20767.977239
AAL171-1526448333-airline-0231:0,2018:05:18 05:00:00,2018:05:18 11:27:00,21940.0164573,21800.1678983011,21190.4132667
QFA12-1526448348-airline-0325:0,2018:05:18 17:10:00,2018:05:18 23:00:00,24069.5806522,24333.142659263507,20827.1800454
JBU323-1526448337-airline-0171:0,2018:05:18 08:30:00,2018:05:18 14:46:00,22640.7244087,22753.5727778992,20949.3172561
JBU423-1526448337-airline-0209,2018:05:18 09:30:00,2018:05:18 15:39:00,21916.8129922,22114.77264951235,20941.9250488
JBU223-1526448337-airline-0017:0,2018:05:18 07:23:00,2018:05:18 13:45:00,22744.7038898,22833.718258622237,21041.2128451
DAL427-1526448342-airline-0333:0,2018:05:18 20:00:00,2018:05:19 02:14:00,23975.1931679,23791.233614457655,20814.7184278
JBU23-1526448337-airline-0308:0,2018:05:18 04:50:00,2018:05:18 10:58:00,22005.1410362,21841.35687290836,21190.4132667
ASA1415-1526448334-airline-0231,2018:05:18 19:25:00,2018:05:19 01:58:00,24191.2593923,23922.4633523224,20814.7184278
ASA1407-1526448334-airline-0081,2018:05:18 08:15:00,2018:05:18 14:39:00,22019.1716787,22275.975982268854,21041.2128451
ASA1409-1526448334-airline-0229,2018:05:18 10:30:00,2018:05:18 16:43:00,21797.3812822,21690.34574804137,20883.2864638
ASA1399-1526448334-airline-0248,2018:05:18 06:00:00,2018:05:18 12:24:00,22021.1943282,21915.63309182958,21148.0342468
AAL293-1526534757-airline-0569,2018:05:19 19:15:00,2018:05:20 01:50:00,21990.3082938,22251.93440168307,21237.8718975
JBU1523-1526534759-airline-0482:0,2018:05:19 16:00:00,2018:05:19 22:28:00,22038.5136934,22143.66747182452,21016.1404469
AAL163-1526534757-airline-0440,2018:05:19 10:00:00,2018:05:19 16:16:00,22708.5492007,22828.82993447374,20795.2653195
JBU1723-1526534759-airline-0383:0,2018:05:19 20:40:00,2018:05:20 02:58:00,22000.9679003,22272.961250581408,21273.380756
JBU323-1526534759-airline-0018:0,2018:05:19 08:30:00,2018:05:19 14:33:00,22701.4720476,22490.254758660725,20779.981457
QFA12-1526534766-airline-0187:2,2018:05:19 17:10:00,2018:05:19 23:00:00,21782.2792261,21701.41252649553,21055.8543921
AAL117-1526534757-airline-0528:0,2018:05:19 14:45:00,2018:05:19 21:14:00,21609.0966034,21597.93589216873,20899.7916212
AAL1-1526534757-airline-0499:0,2018:05:19 07:00:00,2018:05:19 13:35:00,22698.0776232,22729.73782438561,20715.8653767
AAL133-1526534757-airline-0372:0,2018:05:19 17:00:00,2018:05:19 23:32:00,21815.9423997,22059.288559729055,21055.8543921
AAL33-1526534757-airline-0527,2018:05:19 06:00:00,2018:05:19 12:29:00,22753.0145981,22745.970634399353,20755.7990111
AAL255-1526534757-airline-0528:0,2018:05:19 09:00:00,2018:05:19 15:23:00,22711.7674289,22533.09701768975,20779.981457
AAL23-1526534757-airline-0089:0,2018:05:19 13:30:00,2018:05:19 19:54:00,21518.5037244,21716.390465743163,20810.998096
JBU523-1526534759-airline-0200:0,2018:05:19 11:30:00,2018:05:19 17:33:00,21245.9257158,21689.180535552354,20702.1903188
DAL472-1526448342-airline-0526:0,2018:05:19 08:55:00,2018:05:19 15:10:00,22658.4011488,22679.002528601555,20779.981457
JBU223-1526534759-airline-0479:0,2018:05:19 07:23:00,2018:05:19 13:32:00,22754.0296094,22630.967730930464,20715.8653767
ASA1407-1526534758-airline-0026:0,2018:05:19 08:15:00,2018:05:19 14:39:00,22695.6919307,22614.450315018712,20799.5544067
AAL255-1526621169-airline-0390,2018:05:20 09:00:00,2018:05:20 15:23:00,24051.2374524,24099.90540439808,21713.2858412
AAL19-1526621168-airline-0538:0,2018:05:20 16:00:00,2018:05:20 22:26:00,22702.6044545,22429.493592094444,21710.9672909
AAL3-1526621168-airline-0429,2018:05:20 11:00:00,2018:05:20 17:12:00,24122.6341953,24127.001823321683,21732.8881305
AAL185-1526621168-airline-0166:0,2018:05:20 20:15:00,2018:05:21 02:45:00,23504.0405953,23866.88077231524,21869.2938885
DAL427-1526621171-airline-0112:0,2018:05:20 20:00:00,2018:05:21 02:14:00,22802.8984682,22270.434654675748,21829.2792532
DAL212-1526621171-airline-0009:0,2018:05:20 15:55:00,2018:05:20 22:05:00,22411.0151383,22416.738626753995,21710.9672909
JBU1723-1526621170-airline-0333:0,2018:05:20 20:40:00,2018:05:21 02:58:00,22365.1230157,22434.131767220206,21869.2938885
DAL460-1526621171-airline-0505:0,2018:05:20 17:19:00,2018:05:20 23:35:00,22712.2005806,22694.095200842552,21744.3784796
ASA1415-1526621169-airline-0107:0,2018:05:20 19:22:00,2018:05:21 01:44:00,23081.0781814,22769.62097185245,21829.2792532
DAL458-1526621171-airline-0472:0,2018:05:20 12:55:00,2018:05:20 19:01:00,0,24359.136982580596,21787.4550483
JBU523-1526621170-airline-0287:0,2018:05:20 11:30:00,2018:05:20 17:33:00,22300.2404292,23604.762256765644,21750.3357537
AAL133-1526621168-airline-0051:0,2018:05:20 17:00:00,2018:05:20 23:32:00,22682.8870559,22941.20701175325,21744.3784796
ASA1413-1526621169-airline-0098:0,2018:05:20 15:56:00,2018:05:20 22:16:00,22602.2433296,22602.441926767708,21710.9672909
AAL117-1526621168-airline-0097:0,2018:05:20 14:30:00,2018:05:20 20:59:00,22629.8997217,22539.68099096234,21726.802322
AAL23-1526621168-airline-0358:0,2018:05:20 13:30:00,2018:05:20 19:54:00,23333.2666095,23547.967203605138,21728.7983228
JBU1523-1526621170-airline-0221:0,2018:05:20 16:00:00,2018:05:20 22:28:00,22643.2924208,22634.89992979563,21710.9672909
JBU1323-1526621170-airline-0013:0,2018:05:20 14:27:00,2018:05:20 20:45:00,23127.7430277,23282.181591833887,21726.802322
AAL171-1526621168-airline-0383:0,2018:05:20 05:00:00,2018:05:20 11:27:00,22722.6909423,22926.52282739059,21654.4412932
QFA12-1526621177-airline-0017:2,2018:05:20 17:10:00,2018:05:20 23:00:00,22670.2557452,22573.630036080664,21744.3784796
JBU323-1526621170-airline-0303:0,2018:05:20 08:30:00,2018:05:20 14:33:00,23456.5196645,23265.072591770742,21713.2858412
ASA1411-1526621169-airline-0126:0,2018:05:20 12:00:00,2018:05:20 18:12:00,22396.182551,24000.530652517748,21750.3357537
JBU23-1526621170-airline-0315:0,2018:05:20 04:50:00,2018:05:20 10:48:00,23250.2020101,23007.459415562244,21654.4412932
JBU223-1526621170-airline-0205:0,2018:05:20 07:23:00,2018:05:20 13:32:00,23145.8122181,23507.969338471972,21755.0559185
ASA1407-1526621169-airline-0343:0,2018:05:20 08:00:00,2018:05:20 14:12:00,23167.2830428,23784.725287831305,21783.8034248
DAL460-1526707550-airline-0350:0,2018:05:21 17:19:00,2018:05:21 23:35:00,23381.5275073,23913.265662560225,22118.2151124
DAL427-1526707550-airline-0482:0,2018:05:21 20:00:00,2018:05:22 02:14:00,22934.4030978,22868.81286418473,22141.0213403
AAL33-1526707546-airline-0078:0,2018:05:21 06:00:00,2018:05:21 12:29:00,23155.8169841,23090.684098591417,22204.4712665
DAL400-1526707550-airline-0052:0,2018:05:21 14:30:00,2018:05:21 20:48:00,23656.3724935,23615.13968523029,22102.8747789
AAL171-1526707546-airline-0056:0,2018:05:21 05:00:00,2018:05:21 11:27:00,22982.16729,23149.92313594349,22267.8473693
AAL185-1526707546-airline-0579:0,2018:05:21 20:15:00,2018:05:22 02:45:00,23404.0622197,23486.94187396035,22133.0887158
AAL293-1526707546-airline-0468:0,2018:05:21 19:15:00,2018:05:22 01:50:00,23035.5509413,23735.184539898317,22141.0213403
