flightID,departuretime,arrivaltime,planned_path_cost,actual_path_cost,shortest_path_cost
AAL23-1526966760-airline-0216:0,2018:05:24 13:30:00,2018:05:24 19:54:00,21924.3799578,22065.232921735096,21321.8301289
DAL458-1526966764-airline-0217:0,2018:05:24 12:55:00,2018:05:24 19:01:00,21695.0547649,21514.281065904426,21329.589055
JBU1823-1526966762-airline-0085,2018:05:24 21:43:00,2018:05:25 04:00:00,22824.1393927,22885.578742044494,21431.9567959
JBU123-1526966762-airline-0361,2018:05:24 06:31:00,2018:05:24 12:44:00,22106.7053632,22156.16371586805,21559.7205573
AAL19-1526966760-airline-0032:0,2018:05:24 16:00:00,2018:05:24 22:26:00,21702.772955,22120.21636702712,21393.8728919
AAL117-1526966760-airline-0569:0,2018:05:24 14:30:00,2018:05:24 20:59:00,21777.3440861,22427.143164437734,21359.4938162
JBU1523-1526966762-airline-0280:0,2018:05:24 16:00:00,2018:05:24 22:28:00,21626.9787343,21623.95888813979,21393.8728919
ASA1413-1526966762-airline-0353:0,2018:05:24 15:56:00,2018:05:24 22:16:00,21683.0824647,21655.118958045543,21393.8728919
JBU1323-1526966762-airline-0140:0,2018:05:24 14:27:00,2018:05:24 20:51:00,21593.3820425,21897.844778132585,21359.4938162
QFA12-1526966771-airline-0124:2,2018:05:24 17:10:00,2018:05:24 23:00:00,22282.0971084,22233.82677525824,21436.4342642
JBU223-1526966762-airline-0301,2018:05:24 07:23:00,2018:05:24 13:45:00,22043.0471528,22159.946613640124,21561.5653991
JBU23-1526966762-airline-0039:0,2018:05:24 04:50:00,2018:05:24 10:58:00,22269.8314645,22301.2813082363,21541.3668702
ASA1411-1526966762-airline-0017:0,2018:05:24 12:00:00,2018:05:24 18:12:00,21716.7526714,21984.93178444014,21329.7999693
AAL163-1527053124-airline-0149,2018:05:25 10:00:00,2018:05:25 16:16:00,22575.9493154,22501.525471923484,21601.7269552
JBU23-1527053126-airline-0013:0,2018:05:25 04:50:00,2018:05:25 10:58:00,22587.5781314,22674.474032963633,21538.8241444
AAL3-1527053124-airline-0192,2018:05:25 11:00:00,2018:05:25 17:12:00,22606.761715,22530.551786024706,21639.0172908
JBU523-1527053126-airline-0086:0,2018:05:25 11:30:00,2018:05:25 17:39:00,22225.3338752,22765.266785383643,21655.7049018
AAL19-1527053124-airline-0326:0,2018:05:25 16:00:00,2018:05:25 22:26:00,23143.5664146,23382.454689603732,21636.7740289
JBU1823-1527053126-airline-0377:0,2018:05:25 21:43:00,2018:05:26 04:00:00,22771.0417016,23196.36626909759,22130.8286257
ASA1411-1527053125-airline-0371:0,2018:05:25 12:00:00,2018:05:25 18:12:00,22879.3457346,22714.303168296392,21655.7049018
AAL117-1527053124-airline-0453:0,2018:05:25 14:30:00,2018:05:25 20:59:00,23093.0767234,22908.308044212896,21621.5721066
DAL458-1527053128-airline-0158:0,2018:05:25 12:55:00,2018:05:25 19:01:00,22766.000518,22811.260907196414,21606.6359403
AAL1-1527053124-airline-0076,2018:05:25 07:00:00,2018:05:25 13:35:00,22582.69048,23210.018637046614,21557.8231671
DAL212-1527053127-airline-0345:0,2018:05:25 15:55:00,2018:05:25 22:05:00,22905.3687747,23741.042155084713,21636.7740289
DAL400-1527053128-airline-0500:0,2018:05:25 14:30:00,2018:05:25 20:48:00,22854.8159015,23039.726773354167,21621.5721066
JBU123-1527053126-airline-0335,2018:05:25 06:31:00,2018:05:25 12:44:00,22704.8332099,23031.852210004363,21557.8231671
AAL33-1527053124-airline-0504,2018:05:25 06:00:00,2018:05:25 12:29:00,22541.9248948,23338.13962903288,21568.8748474
JBU1523-1527053126-airline-0030:0,2018:05:25 16:00:00,2018:05:25 22:28:00,22905.3687747,22914.588281768498,21636.7740289
QFA12-1527053135-airline-0263:2,2018:05:25 17:10:00,2018:05:25 23:00:00,22867.4180436,22866.678700882323,21685.28496
JBU1323-1527053126-airline-0061:0,2018:05:25 14:27:00,2018:05:25 20:51:00,22854.8159015,22884.829223752608,21621.5721066
AAL23-1527053124-airline-0134:0,2018:05:25 13:30:00,2018:05:25 19:54:00,22540.0791848,22502.1608876407,21628.8802711
JBU423-1527053126-airline-0190,2018:05:25 09:30:00,2018:05:25 15:39:00,22743.7217267,22814.493543897897,21601.7269552
JBU223-1527053126-airline-0267,2018:05:25 07:23:00,2018:05:25 13:45:00,22700.4790161,22661.16573883774,21564.5757152
ASA1413-1527139545-airline-0222:0,2018:05:26 15:56:00,2018:05:26 22:16:00,22987.0539753,22869.059311153025,22139.1658558
AAL23-1527139544-airline-0118:0,2018:05:26 13:30:00,2018:05:26 19:54:00,22923.0915327,23379.086887137633,22223.0333478
AAL133-1527139544-airline-0308:0,2018:05:26 17:00:00,2018:05:26 23:32:00,30012.0061301,17606.412865963157,22127.69287
AAL3-1527139544-airline-0127:0,2018:05:26 11:00:00,2018:05:26 17:12:00,22839.4883034,22779.369170903967,22257.7650748
AAL163-1527139544-airline-0485,2018:05:26 10:00:00,2018:05:26 16:16:00,23159.284497,22667.289916095327,22326.1442344
AAL1-1527139544-airline-0412,2018:05:26 07:00:00,2018:05:26 13:35:00,22974.6320433,23504.31762932281,22364.7912747
DAL400-1527139547-airline-0371:0,2018:05:26 14:30:00,2018:05:26 20:48:00,23258.1724275,23787.07307145054,22150.6631873
DAL454-1527139547-airline-0433,2018:05:26 18:15:00,2018:05:27 00:55:00,23429.9710158,23403.022571126818,22059.8821846
AAL117-1527139544-airline-0450:0,2018:05:26 14:45:00,2018:05:26 21:14:00,23594.5530778,23309.542965778375,22150.6631873
AAL255-1527139544-airline-0442,2018:05:26 09:00:00,2018:05:26 15:23:00,23194.6748608,22823.820054282838,22423.8753183
JBU323-1527139546-airline-0031,2018:05:26 08:30:00,2018:05:26 14:33:00,22956.9905331,22683.40712156493,22423.8753183
ASA1411-1527139545-airline-0142:0,2018:05:26 12:00:00,2018:05:26 18:12:00,22844.9075729,22671.107133276062,22236.9312947
JBU1723-1527139546-airline-0014,2018:05:26 20:40:00,2018:05:27 02:58:00,23311.0432418,23394.266714025285,22041.4378438
JBU223-1527139546-airline-0366,2018:05:26 07:23:00,2018:05:26 13:32:00,22688.2852923,22476.34538061647,22364.7912747
JBU523-1527139546-airline-0061:0,2018:05:26 11:30:00,2018:05:26 17:33:00,23657.9785454,24140.5831051083,22236.9312947
JBU1323-1527139546-airline-0244:0,2018:05:26 14:27:00,2018:05:26 20:45:00,24097.4580101,23890.479777580644,22150.6631873
QFA12-1527139553-airline-0232:2,2018:05:26 17:10:00,2018:05:26 23:00:00,23643.1324452,23934.22100223466,22127.69287
DAL424-1527225964-airline-0436,2018:05:27 06:00:00,2018:05:27 12:06:00,22841.4144511,23050.04770264261,21490.697022
DAL400-1527225963-airline-0207:0,2018:05:27 14:30:00,2018:05:27 20:48:00,22581.4444192,22907.73747596003,21068.1301914
JBU1323-1527225961-airline-0209:0,2018:05:27 14:27:00,2018:05:27 20:45:00,22463.3388679,24428.35030310572,21068.1301914
AAL255-1527225959-airline-0412,2018:05:27 09:00:00,2018:05:27 15:23:00,22777.2894946,22758.480443889446,21413.1126783
JBU1823-1527225962-airline-0286:0,2018:05:27 21:43:00,2018:05:28 03:56:00,24311.7379609,24878.47500202312,20949.3641316
AAL23-1527225959-airline-0012:0,2018:05:27 13:30:00,2018:05:27 19:54:00,22602.8011617,23348.235309712003,21115.0639402
ASA1411-1527225960-airline-0078:0,2018:05:27 12:00:00,2018:05:27 18:12:00,22983.7775461,22969.938362811285,21240.1722324
AAL117-1527225959-airline-0094:0,2018:05:27 14:30:00,2018:05:27 20:59:00,22555.3968769,23757.622013044365,21068.1301914
ASA1409-1527225960-airline-0171:0,2018:05:27 10:30:00,2018:05:27 16:42:00,22520.3952911,22950.791018157488,21314.3290735
AAL1-1527225959-airline-0152,2018:05:27 07:00:00,2018:05:27 13:35:00,22961.4008746,22945.732440629974,21459.5511886
ASA1413-1527225960-airline-0027:0,2018:05:27 15:56:00,2018:05:27 22:16:00,23195.4133086,23332.470315569626,21042.041327
JBU1523-1527225961-airline-0241:0,2018:05:27 16:00:00,2018:05:27 22:28:00,23161.54239,23263.90874536124,21042.041327
AAL163-1527225959-airline-0366,2018:05:27 10:00:00,2018:05:27 16:16:00,22789.6525354,22893.24627646107,21382.4036015
DAL747-1527225964-airline-0166:0,2018:05:27 10:55:00,2018:05:27 16:57:00,22474.7818653,22692.914512035604,21314.3290735
JBU523-1527225962-airline-0354:0,2018:05:27 11:30:00,2018:05:27 17:33:00,22830.295648,22931.217247533117,21240.1722324
JBU323-1527225962-airline-0367,2018:05:27 08:30:00,2018:05:27 14:33:00,23085.2715798,22999.361454148297,21413.1126783
QFA12-1527225966-airline-0048:0,2018:05:27 17:10:00,2018:05:27 23:00:00,22385.9304244,23676.39329897931,20986.9785428
ASA1413-1527312380-airline-0014:0,2018:05:28 15:56:00,2018:05:28 22:16:00,22403.8380825,23358.942009756673,20499.451711
AAL3-1527312379-airline-0151:0,2018:05:28 11:00:00,2018:05:28 17:12:00,22637.5968671,22434.782801689835,20395.1839664
AAL163-1527312379-airline-0180,2018:05:28 10:00:00,2018:05:28 16:16:00,22795.383893,22480.64829464564,20445.2449178
AAL1-1527312379-airline-0098,2018:05:28 07:00:00,2018:05:28 13:35:00,22542.6097546,22899.224515242793,20788.5121884
AAL117-1527312379-airline-0446:0,2018:05:28 14:30:00,2018:05:28 20:59:00,22359.0448518,23153.771851848738,20432.8480742
DAL400-1527312382-airline-0089:0,2018:05:28 14:30:00,2018:05:28 20:48:00,23143.2244519,23581.305073930216,20432.8480742
JBU1523-1527312380-airline-0152:0,2018:05:28 16:00:00,2018:05:28 22:28:00,22666.0370726,24543.447019546886,20499.451711
AAL255-1527312379-airline-0246,2018:05:28 09:00:00,2018:05:28 15:23:00,22879.8651172,22653.855068360303,20630.5109964
AAL23-1527312379-airline-0123:0,2018:05:28 13:30:00,2018:05:28 19:54:00,22357.5225351,23494.11744945026,20438.5161099
AAL171-1527312379-airline-0332,2018:05:28 05:00:00,2018:05:28 11:27:00,22680.6852171,23083.457232824472,20767.172308
JBU23-1527312380-airline-0199:0,2018:05:28 04:50:00,2018:05:28 10:58:00,23641.5261577,23658.80268386032,20767.172308
DAL458-1527312382-airline-0070:0,2018:05:28 12:55:00,2018:05:28 19:01:00,23202.9031206,23148.888755633925,20440.0750127
AAL19-1527312379-airline-0199:0,2018:05:28 16:00:00,2018:05:28 22:26:00,22516.3579379,23562.999551649697,20499.451711
AAL185-1527312379-airline-0100,2018:05:28 20:15:00,2018:05:29 02:45:00,22957.7388201,23141.142666269596,20873.8664866
JBU1323-1527312380-airline-0211:0,2018:05:28 14:27:00,2018:05:28 20:51:00,24371.3677759,23955.017933591218,20432.8480742
ASA1411-1527312380-airline-0263:0,2018:05:28 12:00:00,2018:05:28 18:12:00,22537.2754095,22436.73798741967,20385.5610827
QFA12-1527312387-airline-0404:2,2018:05:28 17:10:00,2018:05:28 23:00:00,22517.1816375,23427.412485716966,20585.196576
JBU1823-1527312380-airline-0402:0,2018:05:28 21:43:00,2018:05:29 04:00:00,22949.1934113,23254.957946493727,20969.6291903
JBU523-1527312380-airline-0048:0,2018:05:28 11:30:00,2018:05:28 17:39:00,22632.4836625,22496.43790870146,20385.5610827
AAL133-1527312379-airline-0591:0,2018:05:28 17:00:00,2018:05:28 23:32:00,22523.1036992,23559.383700356357,20585.196576
DAL212-1527312382-airline-0090:0,2018:05:28 15:50:00,2018:05:28 22:05:00,23298.4626058,23308.855094176197,20499.451711
DAL747-1527312382-airline-0199:0,2018:05:28 10:55:00,2018:05:28 16:57:00,23745.413025,23548.714441450542,20395.1839664
AAL255-1527398754-airline-0588,2018:05:29 09:00:00,2018:05:29 15:23:00,22405.8305883,22145.117137277168,20753.4247192
AAL133-1527398754-airline-0469,2018:05:29 17:00:00,2018:05:29 23:32:00,24093.9099783,23867.93874354187,20982.9417425
DAL212-1527398757-airline-0185:0,2018:05:29 15:55:00,2018:05:29 22:05:00,24019.4425196,23895.521974812098,20955.3860911
AAL19-1527398754-airline-0340:0,2018:05:29 16:00:00,2018:05:29 22:26:00,24038.3389229,23882.134493608803,20955.3860911
DAL458-1527398758-airline-0609:0,2018:05:29 12:55:00,2018:05:29 19:01:00,24040.0957938,23941.855413166857,20763.2466261
AAL163-1527398754-airline-0608,2018:05:29 10:00:00,2018:05:29 16:16:00,22229.9807191,21933.265207839413,20721.2641829
AAL117-1527398754-airline-0217:0,2018:05:29 14:30:00,2018:05:29 20:59:00,24041.6157774,23952.465076275967,20893.295772
DAL747-1527398758-airline-0064:0,2018:05:29 10:55:00,2018:05:29 16:57:00,22584.4581459,22502.518901878342,20718.4629558
AAL3-1527398754-airline-0256:0,2018:05:29 11:00:00,2018:05:29 17:12:00,22139.7823542,22357.46218949964,20718.4629558
AAL23-1527398754-airline-0219:0,2018:05:29 13:30:00,2018:05:29 19:54:00,24043.1776277,23967.314715380704,20855.1875922
DAL400-1527398758-airline-0583:0,2018:05:29 14:30:00,2018:05:29 20:48:00,24001.919373,23919.489050961092,20893.295772
AAL185-1527398754-airline-0470,2018:05:29 20:15:00,2018:05:30 02:45:00,24050.1607524,23668.112879734075,21206.7333991
ASA1411-1527398754-airline-0160:0,2018:05:29 12:00:00,2018:05:29 18:12:00,22691.1684441,22526.20774275235,20735.6541059
JBU123-1527398755-airline-0196,2018:05:29 06:31:00,2018:05:29 12:44:00,21959.4440608,21986.35630486412,20744.9732738
JBU523-1527398755-airline-0049:0,2018:05:29 11:30:00,2018:05:29 17:39:00,21404.6889016,22215.617289385536,20735.6541059
JBU1323-1527398755-airline-0445:0,2018:05:29 14:27:00,2018:05:29 20:51:00,24005.2354351,23754.233503366242,20893.295772
QFA12-1527398763-airline-0365:2,2018:05:29 17:10:00,2018:05:29 23:00:00,24063.7473766,24050.58749210631,20982.9417425
AAL33-1527398754-airline-0352,2018:05:29 06:00:00,2018:05:29 12:29:00,22608.6841284,22602.633852291703,20738.8799006
ASA1413-1527398754-airline-0147:0,2018:05:29 15:56:00,2018:05:29 22:16:00,24032.6013589,23849.446362999155,20955.3860911
DAL212-1527485172-airline-0115:0,2018:05:30 15:55:00,2018:05:30 22:05:00,21840.3046623,22222.73692341464,21424.5525227
JBU1523-1527485170-airline-0337,2018:05:30 16:00:00,2018:05:30 22:28:00,23369.1572591,23490.857421769168,21424.5525227
DAL400-1527485172-airline-0378:0,2018:05:30 14:30:00,2018:05:30 20:48:00,22597.2920483,22665.24955995999,21387.9043799
AAL19-1527485169-airline-0059:0,2018:05:30 16:00:00,2018:05:30 22:26:00,22134.4992645,22812.035919396538,21424.5525227
QFA12-1527485178-airline-0130:2,2018:05:30 17:10:00,2018:05:30 23:00:00,22568.3238645,22292.03807521632,21432.9701203
AAL293-1527485169-airline-0031,2018:05:30 19:15:00,2018:05:31 01:50:00,23238.7065599,23294.8154148747,21515.5330118
AAL185-1527485169-airline-0425,2018:05:30 20:15:00,2018:05:31 02:45:00,23144.8465853,23861.779718892692,21548.4933386
AAL1-1527485169-airline-0156,2018:05:30 07:00:00,2018:05:30 13:35:00,22470.4051902,22661.756455098333,21410.1869235
ASA1411-1527485170-airline-0117:0,2018:05:30 12:00:00,2018:05:30 18:12:00,22584.0561013,22209.893961984093,21336.2081787
JBU1323-1527485170-airline-0443:0,2018:05:30 14:27:00,2018:05:30 20:51:00,23263.5936968,23399.599893345556,21387.9043799
DAL458-1527485172-airline-0567:0,2018:05:30 12:55:00,2018:05:30 19:01:00,22401.2316615,22552.343136241565,21372.9386945
AAL33-1527485169-airline-0133,2018:05:30 06:00:00,2018:05:30 12:29:00,22513.9655644,22548.113894730097,21423.8495696
JBU1723-1527485170-airline-0149,2018:05:30 20:40:00,2018:05:31 03:02:00,22487.9723522,22357.80403012234,21548.4933386
AAL23-1527485169-airline-0289:0,2018:05:30 13:30:00,2018:05:30 19:54:00,22273.2501602,22463.248882256416,21387.297815
AAL255-1527485169-airline-0460,2018:05:30 09:00:00,2018:05:30 15:23:00,22361.0761819,22482.996670461416,21382.428606
AAL117-1527485169-airline-0330:0,2018:05:30 14:30:00,2018:05:30 20:59:00,22380.878623,22874.64643137886,21387.9043799
DAL747-1527485172-airline-0107:0,2018:05:30 10:55:00,2018:05:30 17:00:00,21793.6698559,22172.23236541623,21353.1827383
AAL3-1527485169-airline-0243:0,2018:05:30 11:00:00,2018:05:30 17:12:00,22311.8895565,22458.76674584779,21353.1827383
JBU523-1527485170-airline-0260:1,2018:05:30 11:30:00,2018:05:30 17:39:00,23034.4184589,24669.621228197564,21336.2081787
AAL133-1527485169-airline-0282,2018:05:30 17:00:00,2018:05:30 23:32:00,22407.7716213,22625.547520623903,21432.9701203
ASA1413-1527485170-airline-0102:0,2018:05:30 15:56:00,2018:05:30 22:16:00,23047.2524795,23192.838522308626,21424.5525227
ASA1407-1527485170-airline-0242:0,2018:05:30 08:00:00,2018:05:30 14:12:00,22332.1086256,22074.92598210318,21440.9091439
JBU123-1527485170-airline-0052,2018:05:30 06:31:00,2018:05:30 12:44:00,22326.1851802,22042.96073705562,21410.1869235
JBU223-1527485170-airline-0307,2018:05:30 07:23:00,2018:05:30 13:45:00,22981.3794275,22977.77130905824,21440.9091439
ASA1409-1527485170-airline-0184:0,2018:05:30 10:30:00,2018:05:30 16:42:00,22571.4742024,22703.6139980444,21353.1827383
